Step 0, Loss: 0.758068, TraitAcc: 0.0000
Step 100, Loss: 0.145083, TraitAcc: 0.0000
Step 200, Loss: 0.171928, TraitAcc: 0.0000
Step 300, Loss: 0.095180, TraitAcc: 0.0000
Step 400, Loss: 0.656603, TraitAcc: 0.0000
Step 500, Loss: 1.509154, TraitAcc: 0.0000
Step 600, Loss: 0.471564, TraitAcc: 0.0000
Step 700, Loss: 0.252385, TraitAcc: 0.0000
Step 800, Loss: 0.546452, TraitAcc: 0.0000
Step 900, Loss: 1.934069, TraitAcc: 0.0000
Step 1000, Loss: 0.125247, TraitAcc: 0.0000
Step 1100, Loss: 0.099030, TraitAcc: 0.0000
Step 1200, Loss: 0.043945, TraitAcc: 0.0000
Step 1300, Loss: 0.035656, TraitAcc: 0.0000
Step 1400, Loss: 0.083557, TraitAcc: 0.0000
Step 1500, Loss: 0.812545, TraitAcc: 0.0000
Step 1600, Loss: 0.087644, TraitAcc: 0.0000
Step 1700, Loss: 0.044605, TraitAcc: 0.0000
Step 1800, Loss: 0.097410, TraitAcc: 0.0000
Step 1900, Loss: 0.233005, TraitAcc: 0.0000
Step 2000, Loss: 0.648420, TraitAcc: 0.0000
Step 2100, Loss: 0.065387, TraitAcc: 0.0000
Step 2200, Loss: 0.063179, TraitAcc: 0.0000
Step 2300, Loss: 0.178234, TraitAcc: 0.0000
Step 2400, Loss: 0.026731, TraitAcc: 0.0000
Step 2500, Loss: 0.267425, TraitAcc: 0.0000
Step 2600, Loss: 0.174756, TraitAcc: 0.0000
Step 2700, Loss: 0.059334, TraitAcc: 0.0000
Step 2800, Loss: 0.015658, TraitAcc: 0.0000
Step 2900, Loss: 0.489780, TraitAcc: 0.0000
Step 3000, Loss: 0.544931, TraitAcc: 0.0000
Step 3100, Loss: 0.224460, TraitAcc: 0.0000
Step 3200, Loss: 0.215244, TraitAcc: 0.0000
Step 3300, Loss: 0.049911, TraitAcc: 0.0000
Step 3400, Loss: 0.025117, TraitAcc: 0.0000
Step 3500, Loss: 0.563254, TraitAcc: 0.0000
Step 3600, Loss: 0.456354, TraitAcc: 0.0000
Step 3700, Loss: 0.054454, TraitAcc: 0.0000
Step 3800, Loss: 0.048722, TraitAcc: 0.0000
Step 3900, Loss: 0.079753, TraitAcc: 0.0000
Step 4000, Loss: 2.022835, TraitAcc: 0.0000
Step 4100, Loss: 0.318048, TraitAcc: 0.0000
Step 4200, Loss: 3.798005, TraitAcc: 0.0000
Step 4300, Loss: 0.011019, TraitAcc: 0.0000
Step 4400, Loss: 1.028163, TraitAcc: 0.0000
Step 4500, Loss: 0.037198, TraitAcc: 0.0000
Step 4600, Loss: 0.019621, TraitAcc: 0.0000
Step 4700, Loss: 0.300176, TraitAcc: 0.0000
Step 4800, Loss: 0.013335, TraitAcc: 0.0000
Step 4900, Loss: 0.066945, TraitAcc: 0.0000
Step 5000, Loss: 0.178193, TraitAcc: 0.0000
Step 5100, Loss: 0.444685, TraitAcc: 0.0000
Step 5200, Loss: 0.146455, TraitAcc: 0.0000
Step 5300, Loss: 0.421698, TraitAcc: 0.0000
Step 5400, Loss: 0.970577, TraitAcc: 0.0000
Step 5500, Loss: 1.130466, TraitAcc: 0.0000
Step 5600, Loss: 0.400035, TraitAcc: 0.0000
Step 5700, Loss: 2.325344, TraitAcc: 0.0000
Step 5800, Loss: 0.452979, TraitAcc: 0.0000
Step 5900, Loss: 0.020930, TraitAcc: 0.0000
Step 6000, Loss: 0.158422, TraitAcc: 0.0000
Step 6100, Loss: 0.251653, TraitAcc: 0.0000
Step 6200, Loss: 0.748442, TraitAcc: 0.0000
Step 6300, Loss: 0.033132, TraitAcc: 0.0000
Step 6400, Loss: 0.223087, TraitAcc: 0.0000
Step 6500, Loss: 0.171029, TraitAcc: 0.0000
Step 6600, Loss: 0.052149, TraitAcc: 0.0000
Step 6700, Loss: 0.030148, TraitAcc: 0.0000
Step 6800, Loss: 0.063167, TraitAcc: 0.0000
Step 6900, Loss: 0.046819, TraitAcc: 0.0000
Step 7000, Loss: 0.342280, TraitAcc: 0.0000
Step 7100, Loss: 0.148598, TraitAcc: 0.0000
Step 7200, Loss: 0.072904, TraitAcc: 0.0000
Step 7300, Loss: 0.024600, TraitAcc: 0.0000
Step 7400, Loss: 0.133490, TraitAcc: 0.0000
Step 7500, Loss: 0.847772, TraitAcc: 0.0000
Step 7600, Loss: 0.262357, TraitAcc: 0.0000
Step 7700, Loss: 0.151187, TraitAcc: 0.0000
Step 7800, Loss: 2.687191, TraitAcc: 0.0000
